A_19_P00316105,NG_009238.3,100.000,60,0,0,1,60,48168,48227,4.55e-24,111
A_19_P00316396,NG_016853.2,100.000,60,0,0,1,60,72131,72190,4.55e-24,111
A_19_P00316396,NG_045000.6,100.000,60,0,0,1,60,15272,15331,4.55e-24,111
A_19_P00316398,NG_016853.2,100.000,60,0,0,1,60,72004,72063,4.55e-24,111
A_19_P00316398,NG_045000.6,100.000,60,0,0,1,60,15145,15204,4.55e-24,111
A_19_P00316666,NG_051310.1,100.000,60,0,0,1,60,31093,31152,4.55e-24,111
A_19_P00317052,NG_031980.2,100.000,60,0,0,1,60,72498,72557,4.55e-24,111
A_19_P00317360,NG_007379.2,100.000,60,0,0,1,60,5285,5344,4.55e-24,111
A_19_P00317628,NG_009273.2,100.000,60,0,0,1,60,64410,64469,4.55e-24,111
A_19_P00318174,NG_051310.1,100.000,60,0,0,1,60,31062,31121,4.55e-24,111
A_19_P00319347,NG_050644.1,100.000,60,0,0,1,60,202158,202217,4.55e-24,111
A_19_P00321306,NG_031980.2,100.000,60,0,0,1,60,76515,76574,4.55e-24,111
A_19_P00321342,NG_052634.1,100.000,60,0,0,1,60,513082,513141,4.55e-24,111
A_19_P00321802,NG_023443.2,100.000,60,0,0,1,60,1934161,1934220,4.55e-24,111
A_19_P00322432,NG_051310.1,100.000,60,0,0,1,60,31273,31332,4.55e-24,111
A_19_P00322660,NG_012352.2,100.000,60,0,0,1,60,4798,4739,4.55e-24,111
A_19_P00322813,NG_052634.1,100.000,60,0,0,1,60,513072,513131,4.55e-24,111
A_19_P00322886,NG_021193.1,100.000,60,0,0,1,60,291,350,4.55e-24,111
A_19_P00322887,NG_021193.1,100.000,60,0,0,1,60,231,290,4.55e-24,111
A_19_P00322911,NG_032754.2,100.000,60,0,0,1,60,43932,43991,4.55e-24,111
A_19_P00323413,NG_028036.1,100.000,60,0,0,1,60,207752,207811,4.55e-24,111
A_19_P00323737,NG_028036.1,100.000,60,0,0,1,60,207858,207917,4.55e-24,111
A_19_P00324582,NG_033239.1,88.710,62,5,1,1,60,34380,34319,5.97e-13,75.0
A_19_P00324582,NG_030332.1,87.097,62,4,2,1,60,911,970,9.99e-11,67.6
A_19_P00800006,NG_011779.2,95.000,60,3,0,1,60,9239,9298,4.58e-19,95.3
A_19_P00800006,NG_033051.1,96.491,57,2,0,4,60,130296,130240,4.58e-19,95.3
A_19_P00800006,NG_009846.1,91.071,56,5,0,4,59,208260,208205,1.66e-13,76.8
A_19_P00800006,NG_033962.2,89.655,58,6,0,1,58,213213,213270,5.97e-13,75.0
A_19_P00802098,NG_051310.1,100.000,60,0,0,1,60,31110,31169,4.55e-24,111
A_19_P00802417,NG_012922.1,100.000,60,0,0,1,60,341,282,4.55e-24,111
A_19_P00804072,NG_031980.2,100.000,60,0,0,1,60,76712,76771,4.55e-24,111
