LAMC2	1e-13
APOL1	1e-13
RHBDL2	1e-13
LAMB3	1e-13
CELSR1	2.62904791464184e-13
SLC2A1	4.28076026039372e-13
AHNAK2	4.28076026039372e-13
TRIM29	4.28076026039372e-13
KCNN4	5.31574960680194e-13
GJB2	6.68201350314376e-13
COL10A1	6.68201350314376e-13
KRT19	8.34333031208588e-13
LY6E	9.06065915194844e-13
S100A16	9.46948838696397e-13
OAS3	9.78604957572939e-13
HN1	1.38295541184017e-12
ANLN	1.38295541184017e-12
ACAT1	1.38295541184017e-12
SDC1	1.74327851504535e-12
MYO1E	2.1239078371985e-12
MBOAT2	2.59806172626962e-12
S100A6	3.52943890907628e-12
SQLE	3.52943890907628e-12
RUNX2	5.33931351144769e-12
PKM	5.58916171953907e-12
IFI27	6.2674042886244e-12
OAS1	6.73564684595617e-12
CORO2A	6.73564684595617e-12
LAMA3	6.97680104675613e-12
S100A11	7.41874744092666e-12
OSBPL3	8.41766623390825e-12
INHBA	8.41766623390825e-12
SLC16A3	8.41766623390825e-12
TMSB10	8.74691208322404e-12
ANXA2	8.74691208322404e-12
KLF5	8.74691208322404e-12
SFN	9.13011180002867e-12
CSTB	1.09109478491691e-11
KRT17	1.21019171115068e-11
FXYD5	1.26004466098199e-11
ARPC2	1.76360999630754e-11
SEMA6D	1.92244251635482e-11
CEP55	1.92244251635482e-11
ACTN1	1.94374826258041e-11
DTNA	2.65824139778771e-11
EGLN3	2.67230844468007e-11
TMPRSS4	3.01181819445416e-11
DDA1	3.01181819445416e-11
ITGA3	3.18883949750491e-11
IGFL2	3.29641863013515e-11
IGFBP3	3.31746258649298e-11
NBL1	3.39805150159254e-11
PTTG1IP	4.03357887616381e-11
ARNTL2	5.41913731329856e-11
LEF1	5.41913731329856e-11
NDC80	5.45089214453967e-11
OAS2	6.90912351099043e-11
ISG15	7.08168542525837e-11
SERPINB5	7.08168542525837e-11
COL11A1	7.08168542525837e-11
NOX4	7.08168542525837e-11
ITGA2	7.90533261972171e-11
TBC1D2	8.06065047014074e-11
CLIC1	8.47518258728628e-11
FHL2	8.8095515130697e-11
S100A10	9.21275364944612e-11
PLEC	9.21275364944612e-11
GALNT10	9.21275364944612e-11
TUBA4A	9.21275364944612e-11
LGALS3BP	9.25020219552024e-11
LDHB	9.25020219552024e-11
COL17A1	9.41594650172755e-11
KIF23	9.96703206308503e-11
ITGB5	1.02765756641742e-10
RAI14	1.02901968253608e-10
FBXO32	1.03683726036509e-10
PCDH7	1.04207381861426e-10
PLAT	1.0736183345325e-10
LMO7	1.25476662966422e-10
TTN	1.26486168275416e-10
TSPAN1	1.28196233154039e-10
COL8A1	1.28196233154039e-10
TMEM200A	1.35257734593169e-10
SLC6A6	1.35543120129208e-10
ST3	1.37470491225099e-10
MUC4	1.4483881068139e-10
NUTM2F	1.45237050375753e-10
UBE2T	1.48854596480835e-10
S100P	1.48898373107092e-10
RSAD2	1.53239403226653e-10
LGALS3	1.69054263967461e-10
ACTN4	1.70050571190316e-10
TRIM59	1.70966843583902e-10
SLPI	1.7710712946119e-10
PLEK2	1.95936134123285e-10
PFKP	2.12706256010189e-10
VIPR2	2.17450967673838e-10
CTHRC1	2.61035743875781e-10
USP2	2.61035743875781e-10
THBS2	2.62037062108776e-10
AEBP1	2.63620034536158e-10
VDR	2.78401959171355e-10
FAP	3.1655044948332e-10
PPAPDC1A	3.59555761362192e-10
ANO1	3.59555761362192e-10
MALL	3.59555761362192e-10
KCNK1	3.59555761362192e-10
MX2	3.59555761362192e-10
HOXB2	3.81458600599819e-10
CEMIP	3.88230207760162e-10
COL5A1	3.88230207760162e-10
HS3ST1	3.92611819065136e-10
RCC2	4.0462204693941e-10
PI3	4.12938327471711e-10
DKK1	4.12938327471711e-10
PRDX1	4.12938327471711e-10
AFAP1	4.27657569491198e-10
KLF15	4.27657569491198e-10
TRIM16	4.41335311681897e-10
PGK1	4.56135566777641e-10
ADAM9	4.86240715286254e-10
MX1	4.86240715286254e-10
DCBLD2	4.92318019959926e-10
SIPA1	4.95798901112366e-10
RARRES3	5.11157375721324e-10
GPRC5A	5.11157375721324e-10
DHRS12	5.25416185765672e-10
CDH11	5.25416185765672e-10
STIL	5.31932878037792e-10
PRR5L	5.43896221606651e-10
CCDC69	5.43896221606651e-10
CD109	5.43896221606651e-10
CENPF	5.43896221606651e-10
EFNB2	5.43896221606651e-10
MYOF	5.52536569033097e-10
EPSTI1	5.55590904720125e-10
HOXB6	5.63051709373398e-10
FN1	5.74554635454163e-10
CCL20	5.75717580335522e-10
SULF1	5.87447731263835e-10
UBE2C	5.87556570537763e-10
C1GALT1	5.87556570537763e-10
ELF4	5.89615939763147e-10
HIST1H2AC	5.90923679119567e-10
SERPINI1	5.92853199095568e-10
CTTNBP2NL	6.75995173863798e-10
OASL	7.06083553460089e-10
IRAK2	7.24909559658564e-10
ACADL	7.24909559658564e-10
ANTXR1	7.24909559658564e-10
RNF212	7.24909559658564e-10
TRHDE	7.35171972675783e-10
MKI67	7.36955089765771e-10
RUNX1	7.56873314620634e-10
VGLL4	7.56873314620634e-10
HEPH	7.83440827323089e-10
MICALL2	8.30978594915377e-10
CAPG	8.49076584579716e-10
IGF2BP3	8.78150430845766e-10
AHR	8.82185386479473e-10
CRIP1	8.84629139804659e-10
C5ORF15	8.96024434169283e-10
CMTM3	9.22783644202888e-10
LMO3	9.22783644202888e-10
IFI6	9.22783644202888e-10
CECR2	9.35263577167723e-10
TPX2	1.01985984428706e-09
PLAC8	1.04643235507041e-09
DKK3	1.07100839287263e-09
NTM	1.07450990385463e-09
PALLD	1.07450990385463e-09
MYL12B	1.07450990385463e-09
